Day,Temperature
0,22.483570765056164
1,19.308678494144075
2,23.23844269050346
3,27.61514928204013
4,18.829233126383322
5,18.8293152152541
6,27.896064077536955
7,23.837173645764544
8,17.65262807032524
9,22.712800217929825
10,17.682911535937688
11,17.671351232148716
12,21.20981135783017
13,10.43359877671101
14,11.375410837434837
15,17.188562353795135
16,14.93584439832788
17,21.571236662976368
18,15.459879622393945
19,12.938481493323543
20,27.32824384460777
21,38.36137093516804
22,20.33764102343962
23,12.876259068932717
24,17.278086377374088
25,20.55461294854933
26,14.245032112888486
27,21.87849009172836
28,16.996806550405974
29,18.541531251033618
30,33.889648326175255
31,29.261390922544688
32,19.93251387631033
33,14.711445355220498
34,24.112724560515943
35,13.895781750144888
36,21.044317975023777
37,10.201649380601122
38,13.359069755507846
39,20.984306179345616
40,23.692332899977053
41,20.85684140594985
42,19.421758588058797
43,18.494481522053555
44,12.607390048162863
45,16.400778958026457
46,17.696806145201062
47,25.285611131094576
48,21.71809144784231
49,11.18479922318633
50,21.620419846973974
51,18.074588597918417
52,16.615389998470206
53,23.05838144420434
54,25.154997612479754
55,24.656400595580994
56,15.803912383886807
57,18.453938120743928
58,21.65631715701782
59,24.877725635611796
60,17.60412881077355
61,19.071705116680914
62,14.468325129969859
63,14.018966879596647
64,24.062629111970992
65,26.781200142854114
66,19.63994939209833
67,40.940169123017675
68,21.80818012523817
69,16.77440122697438
70,21.80697802754207
71,27.690182832329846
72,19.820869804450243
73,27.82321827907003
74,6.901274479551278
75,24.10951252187612
76,20.435235341190857
77,18.504963247670663
78,20.45880388267751
79,10.062155426995536
80,18.90164056081244
81,21.78556285755873
82,27.38947022370758
83,17.40864890863176
84,15.957531985534061
85,17.491214782077318
86,33.16299813830638
87,41.93112556341991
88,17.351198981164806
89,22.56633716556678
90,20.4853877467402
91,24.843224952664446
92,16.489734530613237
93,18.361689267011158
94,18.039459234339212
95,12.682425259339407
96,21.48060138532288
97,21.305276360899448
98,20.025567283212304
99,18.827064333124266
100,12.92314628974793
101,17.896773386173205
102,18.286427417366152
103,15.988613653891905
104,19.193571441669953
105,22.020254284072692
